DetailID,CommentID,CmtQty,movieId,TagId
11315,46630,2,1,1
11316,46630,4,2,2
11317,46630,10,3,3
11318,46630,2,4,4
11319,46630,1,5,5
11320,46630,3,6,6
11321,46631,2,7,7
11322,46631,3,8,8
11323,46631,16,9,9
11324,46631,4,10,10
11325,46631,5,11,11
11326,46631,4,12,12
11327,46631,4,13,13
11328,46631,2,14,14
11329,46631,1,15,15
11330,46631,5,16,16
11331,46631,2,17,17
11332,46631,2,18,18
11333,46631,3,19,19
11334,46631,2,20,20
11335,46631,4,21,21
11336,46631,5,22,22
11337,46632,1,23,23
11338,46633,5,24,24
11339,46633,4,25,25
11340,46633,7,26,26
11341,46633,8,27,27
11342,46633,9,28,28
11343,46633,2,29,29
11344,46633,1,30,30
11345,46633,3,31,31
11346,46633,3,32,32
11347,46633,3,34,34
11348,46633,4,36,36
11349,46633,3,38,38
11350,46633,1,39,39
11351,46633,3,40,40
11352,46633,4,41,41
11353,46633,33,42,42
11354,46633,7,43,43
11355,46633,3,44,44
11356,46633,4,45,45
11357,46633,5,46,46
11358,46633,4,47,47
11359,46633,2,48,48
11360,46633,3,49,49
11361,46633,4,50,50
11362,46633,11,52,52
11363,46633,27,53,53
11364,46633,7,54,54
11365,46633,3,55,55
11366,46633,3,57,57
11367,46633,2,58,58
11368,46633,4,60,60
11369,46633,7,61,61
11370,46633,1,62,62
11371,46633,7,63,63
11372,46633,11,64,64
11373,46633,6,65,65
11374,46633,4,66,66
11375,46633,3,68,68
11376,46633,3,69,69
11377,46633,2,70,70
11378,46633,10,71,71
11379,46634,1,72,72
11380,46634,1,73,73
11381,46634,1,74,74
11382,46634,2,75,75
11383,46635,3,76,76
11384,46635,1,77,77
11385,46636,1,78,78
11386,46637,1,79,79
11387,46638,2,80,80
11388,46638,2,81,81
11389,46638,4,82,82
11390,46638,4,83,83
11391,46638,3,85,85
11392,46638,4,86,86
11393,46638,2,87,87
11394,46638,7,88,88
11395,46638,2,89,89
11396,46638,3,92,92
11397,46638,2,93,93
11398,46638,4,94,94
11399,46638,1,95,95
11400,46638,1,96,96
11401,46638,1,97,97
11402,46638,2,99,99
11403,46638,1,100,100
11404,46638,2,101,101
11405,46638,3,102,102
11406,46638,10,103,103
11407,46638,3,104,104
11408,46638,1,105,105
11409,46638,2,106,106
11410,46638,4,107,107
11411,46638,1,108,108
11412,46638,3,110,110
11413,46638,3,111,111
11414,46638,3,112,112
11415,46638,9,113,113
11416,46638,2,116,116
11417,46638,3,117,117
11418,46638,3,118,118
11419,46638,5,119,119
11420,46638,6,121,121
11421,46638,3,122,122
11422,46638,2,123,123
11423,46638,1,125,125
11424,46638,4,126,126
11425,46638,1,128,128
11426,46638,3,129,129
11427,46638,4,132,132
11428,46638,5,135,135
11429,46638,4,137,137
11430,46638,4,140,140
11431,46638,1,141,141
11432,46638,1,144,144
11433,46638,2,145,145
11434,46638,1,146,146
11435,46638,2,147,147
11436,46638,1,148,148
11437,46638,2,149,149
11438,46638,5,150,150
11439,46638,2,151,151
11440,46639,1,152,152
11441,46639,3,153,153
11442,46639,2,154,154
11443,46639,5,155,155
11444,46639,4,156,156
11445,46639,5,157,157
11446,46639,4,158,158
11447,46639,3,159,159
11448,46639,3,160,160
11449,46639,1,161,161
11450,46639,11,162,162
11451,46639,3,163,163
11452,46639,1,164,164
11453,46639,1,165,165
11454,46639,2,166,166
11455,46639,2,168,168
11456,46639,2,169,169
11457,46639,2,170,170
11458,46640,6,171,171
11459,46640,3,172,172
11460,46640,2,173,173
11461,46640,1,174,174
11462,46640,3,175,175
11463,46640,4,176,176
11464,46640,5,177,177
11465,46640,1,178,178
11466,46640,1,179,179
11467,46640,4,180,180
11468,46640,1,181,181
11469,46640,4,183,183
11470,46640,7,184,184
11471,46640,4,185,185
11472,46640,4,186,186
11473,46640,2,187,187
11474,46640,1,188,188
11475,46640,2,189,189
11476,46640,2,190,190
11477,46640,3,191,191
11478,46641,1,193,193
11479,46642,6,194,194
11480,46642,10,195,195
11481,46642,9,196,196
11482,46642,4,198,198
11483,46642,3,199,199
11484,46642,3,201,201
11485,46642,3,202,202
11486,46642,5,203,203
11487,46642,4,204,204
11488,46642,2,205,205
11489,46642,2,206,206
11490,46642,2,207,207
11491,46642,3,208,208
11492,46642,3,209,209
11493,46642,4,210,210
11494,46642,6,211,211
11495,46642,5,212,212
11496,46642,6,213,213
11497,46642,4,214,214
11498,46642,3,215,215
11499,46642,4,216,216
11500,46642,5,217,217
11501,46642,6,218,218
11502,46642,3,219,219
11503,46642,4,220,220
11504,46642,6,222,222
11505,46642,6,223,223
11506,46642,4,224,224
11507,46642,2,225,225
11508,46642,1,227,227
11509,46642,4,228,228
11510,46642,4,229,229
11511,46642,2,230,230
11512,46642,5,231,231
11513,46642,9,232,232
11514,46642,5,233,233
11515,46642,7,234,234
11516,46642,5,235,235
11517,46643,8,236,236
11518,46643,2,237,237
11519,46643,5,238,238
11520,46643,8,239,239
11521,46643,3,240,240
11522,46643,4,241,241
11523,46643,2,242,242
11524,46643,5,243,243
11525,46643,3,246,246
11526,46643,3,247,247
11527,46643,4,248,248
11528,46643,8,249,249
11529,46643,12,250,250
11530,46643,2,251,251
11531,46643,3,252,252
11532,46643,12,253,253
11533,46643,5,254,254
11534,46643,2,255,255
11535,46643,12,256,256
11536,46643,4,257,257
11537,46643,8,258,258
11538,46643,1,259,259
11539,46643,2,260,260
11540,46643,5,261,261
11541,46643,5,262,262
11542,46643,4,263,263
11543,46643,8,265,265
11544,46643,2,266,266
11545,46643,6,267,267
11546,46643,12,269,269
11547,46643,7,270,270
11548,46643,11,271,271
11549,46643,5,272,272
11550,46643,3,273,273
11551,46643,2,274,274
11552,46643,2,275,275
11553,46643,8,276,276
11554,46643,3,277,277
11555,46643,3,278,278
11556,46643,2,279,279
11557,46643,11,280,280
11558,46643,10,281,281
11559,46643,4,282,282
11560,46644,1,283,283
11561,46645,2,284,284
11562,46645,10,285,285
11563,46645,5,287,287
11564,46645,6,288,288
11565,46645,2,289,289
11566,46645,4,290,290
11567,46645,5,291,291
11568,46645,2,292,292
11569,46645,8,293,293
11570,46645,9,294,294
11571,46645,8,295,295
11572,46645,10,296,296
11573,46645,5,298,298
11574,46645,11,299,299
11575,46645,6,300,300
11576,46645,3,301,301
11577,46645,14,302,302
11578,46645,5,303,303
11579,46645,3,304,304
11580,46645,4,305,305
11581,46645,1,306,306
11582,46645,10,307,307
11583,46645,2,308,308
11584,46645,2,310,310
11585,46645,3,311,311
11586,46645,9,312,312
11587,46645,8,313,313
11588,46645,10,314,314
11589,46645,9,315,315
11590,46645,6,316,316
11591,46645,10,317,317
11592,46645,2,318,318
11593,46645,5,319,319
11594,46645,3,320,320
11595,46645,6,321,321
11596,46646,1,322,322
11597,46646,5,324,324
11598,46646,2,325,325
11599,46646,4,326,326
11600,46646,5,327,327
11601,46646,4,328,328
11602,46646,3,329,329
11603,46646,2,330,330
11604,46646,3,331,331
11605,46646,2,332,332
11606,46646,4,333,333
11607,46647,5,334,334
11608,46647,4,335,335
11609,46647,6,336,336
11610,46647,4,337,337
11611,46647,6,338,338
11612,46647,9,339,339
11613,46647,5,340,340
11614,46647,2,341,341
11615,46647,6,342,342
11616,46647,6,343,343
11617,46647,1,344,344
11618,46647,5,345,345
11619,46647,2,346,346
11620,46647,4,347,347
11621,46647,3,348,348
11622,46647,1,349,349
11623,46647,4,350,350
11624,46647,10,351,351
11625,46647,34,352,352
11626,46647,11,353,353
11627,46647,2,354,354
11628,46647,3,355,355
11629,46647,3,356,356
11630,46647,5,357,357
11631,46647,6,358,358
11632,46647,6,359,359
11633,46647,4,360,360
11634,46647,6,361,361
11635,46647,2,362,362
11636,46647,7,363,363
11637,46647,6,364,364
11638,46647,3,365,365
11639,46647,2,366,366
11640,46647,4,367,367
11641,46647,4,368,368
11642,46647,4,369,369
11643,46647,8,370,370
11644,46647,7,371,371
11645,46647,3,372,372
11646,46647,14,373,373
11647,46647,5,374,374
11648,46648,3,376,376
11649,46648,2,377,377
11650,46648,11,378,378
11651,46648,2,379,379
11652,46648,4,380,380
11653,46648,4,381,381
11654,46648,5,382,382
11655,46648,8,383,383
11656,46648,10,384,384
11657,46648,4,385,385
11658,46648,4,386,386
11659,46648,2,387,387
11660,46648,3,388,388
11661,46648,4,389,389
11662,46648,2,390,390
11663,46648,12,391,391
11664,46648,5,393,393
11665,46648,3,405,405
11666,46648,3,406,406
11667,46648,2,407,407
11668,46648,2,408,408
11669,46648,3,409,409
11670,46648,4,410,410
11671,46648,16,412,412
11672,46648,6,413,413
11673,46648,7,414,414
11674,46648,4,415,415
11675,46648,5,416,416
11676,46648,5,417,417
11677,46648,4,418,418
11678,46648,8,419,419
11679,46648,8,420,420
11680,46648,2,421,421
11681,46648,1,422,422
11682,46648,6,423,423
11683,46648,5,424,424
11684,46648,3,425,425
11685,46648,2,426,426
11686,46648,3,427,427
11687,46648,2,428,428
11688,46648,2,429,429
11689,46648,7,430,430
11690,46648,2,431,431
11691,46648,3,432,432
11692,46648,1,433,433
11693,46648,3,434,434
11694,46648,2,435,435
11695,46648,2,436,436
11696,46648,7,437,437
11697,46648,11,438,438
11698,46649,2,440,440
11699,46649,1,441,441
11700,46649,2,442,442
11701,46649,1,444,444
11702,46649,4,445,445
11703,46649,1,446,446
11704,46649,2,448,448
11705,46649,6,449,449
11706,46649,4,450,450
11707,46649,2,451,451
11708,46649,1,452,452
11709,46649,2,453,453
11710,46649,2,454,454
11711,46649,2,455,455
11712,46649,1,456,456
11713,46649,6,457,457
11714,46649,2,458,458
11715,46649,1,459,459
11716,46649,1,460,460
11717,46649,3,461,461
11718,46650,3,464,464
11719,46650,2,466,466
11720,46650,3,467,467
11721,46650,2,468,468
11722,46651,5,469,469
11723,46651,2,470,470
11724,46651,5,471,471
11725,46651,3,472,472
11726,46651,2,473,473
11727,46651,3,474,474
